skater_name,skater_country,event,location,date,segment,tss,bv,tes,pcs
Xiaoyu Yu Hao Zhang,chn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,75.23,34.00,43.11,32.12
Xiaoyu Yu Hao Zhang,chn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,75.20,34.30,42.97,32.23
Xiaoyu Yu Hao Zhang,chn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,75.34,34.30,41.83,33.51
Xiaoyu Yu Hao Zhang,chn,2016 GP Cup of China,Beijing / CHN,"Nov. 20, 2016",short,72.49,34.30,40.84,31.65
Xiaoyu Yu Hao Zhang,chn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,69.43,34.30,39.83,29.60
Xiaoyu Yu Hao Zhang,chn,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,136.99,58.70,69.06,67.93
Xiaoyu Yu Hao Zhang,chn,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",long,145.53,58.60,73.63,71.90
Xiaoyu Yu Hao Zhang,chn,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",long,134.17,56.90,65.81,68.36
Xiaoyu Yu Hao Zhang,chn,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,136.28,58.20,68.39,67.89
Xiaoyu Yu Hao Zhang,chn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",long,128.20,58.00,63.70,64.50
Xiaoyu Yu Hao Zhang,chn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,131.37,53.20,63.64,68.73
Xiaoyu Yu Hao Zhang,chn,2016 GP Cup of China,Beijing / CHN,"Nov. 20, 2016",long,131.27,57.70,66.05,66.22
Xiaoyu Yu Hao Zhang,chn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",long,132.65,56.50,67.40,65.25
Julianne Seguin Charlie Bilodeau,can,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,63.98,28.50,31.95,32.03
Julianne Seguin Charlie Bilodeau,can,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,67.06,31.20,35.99,31.07
Julianne Seguin Charlie Bilodeau,can,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,61.72,27.10,32.08,29.64
Julianne Seguin Charlie Bilodeau,can,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,66.31,33.90,35.74,30.57
Julianne Seguin Charlie Bilodeau,can,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,60.86,32.30,31.49,31.37
Julianne Seguin Charlie Bilodeau,can,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",short,61.72,31.20,33.43,30.29
Julianne Seguin Charlie Bilodeau,can,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",short,66.49,32.30,35.96,30.53
Julianne Seguin Charlie Bilodeau,can,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",short,71.40,34.40,40.64,30.76
Julianne Seguin Charlie Bilodeau,can,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",long,130.39,60.10,66.26,64.13
Julianne Seguin Charlie Bilodeau,can,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",long,119.10,54.90,57.69,61.41
Julianne Seguin Charlie Bilodeau,can,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",long,127.92,59.20,66.24,61.68
Julianne Seguin Charlie Bilodeau,can,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,131.90,57.90,67.96,63.94
Julianne Seguin Charlie Bilodeau,can,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,125.99,55.90,62.69,64.30
Julianne Seguin Charlie Bilodeau,can,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",long,121.65,58.00,61.57,61.08
Julianne Seguin Charlie Bilodeau,can,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",long,130.82,58.10,66.56,64.26
Julianne Seguin Charlie Bilodeau,can,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",long,136.90,58.40,70.26,66.64
